uuid,x,y
uuid:2a732266-4cfd-4358-9963-fb6244b706bd,-8.759139,4.9417915
uuid:0dd2249d-a4ac-42e9-a4be-ba7dddcf4728,-7.671658,4.386726
uuid:a4442883-6d4d-4ac7-9f13-5bfd33c34832,8.111959,0.98321056
uuid:d8193705-94d0-453c-ae1e-7d1399f47cf6,-4.469617,5.3787293
uuid:77854abb-400b-46fe-b318-55acf66fe4b2,8.087448,1.4251335
uuid:8e93ac00-7008-43d6-9a6c-58cc55e4d8c0,8.127168,1.0448897
uuid:c81a9daa-4dec-4563-b204-84e4a26f621c,2.7291358,-4.805994
uuid:c2e9e327-d3a7-4e0d-bf83-7d4b2a6de798,7.043462,-0.5796128
uuid:ecf72180-5454-4a4c-b158-b47ae5472594,-8.466896,4.782725
uuid:711c29af-9d69-41fd-bd1d-9aa6bfedb7e0,-7.0887628,4.675811
uuid:04e01c67-247a-476f-ab75-e1373fa36295,3.1039112,-4.6533103
uuid:7f9c1c13-2bdd-4429-8f29-27fb4c31133a,-7.6095953,4.990406
uuid:77d7addf-f9e5-42b4-8118-d074d7d09841,0.87180746,-4.9790635
uuid:4bb66f43-481c-4e17-b72a-3611b24a6f4a,6.776001,1.1427796
uuid:959e5fc0-4f0d-4998-a72c-1bf196bf013c,-7.940442,4.911239
uuid:e0407f54-9f27-484b-91c7-b218785291ae,3.711317,-2.020722
uuid:870d3283-0f99-45ab-8533-0e86f7bc35a0,4.212525,-2.0120409
uuid:aae22e2c-70f2-4a3a-a970-adc13f927f39,-7.2169743,5.328202
uuid:2cd0bc77-f0f2-4b8a-9ca7-f4fd10d4578b,-8.071996,4.8172965
uuid:3e161f55-060e-4f90-bb86-fe255876ed4b,-7.8655515,4.838188
uuid:164e2393-5076-4cfe-8bcb-07a6f0190c1b,-7.936398,4.496083
uuid:a9b5814a-de94-46b3-b063-49504b892f57,7.041538,2.5093424
uuid:2e6a7007-ccfb-4557-b409-44911b00fef4,7.963296,0.70317775
uuid:57369598-9309-4685-aebf-9f759d857710,-8.900261,5.195458
uuid:9a4537a9-9354-40b5-a59e-266ac18bb697,-7.6560583,5.0420628
uuid:b147cc15-6de6-496b-adaf-f0a396f59e56,-4.579304,5.4506583
