formatted,unformatted
"Mechanical, Maritime and Materials Engineering","trail"
"Mechanical, Maritime and Materials Engineering","mechanical maritime and materials engineering"
"Mechanical, Maritime and Materials Engineering","mechanical, maritime and materials engineering"
"Mechanical, Maritime and Materials Engineering","trail netherlands research school for transport, infrastructure and logistics"
"Mechanical, Maritime and Materials Engineering","trail netherlands research school for transport, intrastructure and logistics"
"Applied Sciences","iri"
"Applied Sciences","applied physics"
"Applied Sciences","applied science"
"Applied Sciences","applied sciences"
"Applied Sciences","appplied sciences"
"Applied Sciences","reactor instituut delft"
"Applied Sciences","interfaculty reactor institute"
"Applied Sciences","applied sciences / technology, policy and management"
"Civil Engineering and Geosciences","civil engineering geosciences"
"Civil Engineering and Geosciences","civile engineering and geoscience"
"Civil Engineering and Geosciences","civil engineering and geosciences"
"Civil Engineering and Geosciences","civil engineering and geosciences / applied sciences"
"Electrical Engineering, Mathematics & Computer Science","qutech"
"Electrical Engineering, Mathematics & Computer Science","information technology and systems"
"Electrical Engineering, Mathematics & Computer Science","information systems and technology"
"Electrical Engineering, Mathematics & Computer Science","electrical engineering, mathematics and computer science"
"Aerospace Engineering","aerospace engineering"
"Aerospace Engineering","electrical engineering, aerospace engineering"
"Aerospace Engineering","civil engineering and geosciences / aerospace engineering"
"Technology, Policy and Management","technology, policy and mangement"
"Technology, Policy and Management","technology, policy and management"
"Technology, Policy and Management","technology, policy and management, civil engineering and geosciences"
"Architecture and The Built Environment","otb"
"Architecture and The Built Environment","architecture"
"Architecture and The Built Environment","otb research institute"
"Architecture and The Built Environment","architecture and the built environment"
"Architecture and The Built Environment","otb research instiute for the built environment"
"Architecture and The Built Environment","otb reserach institute for the built environment"
"Architecture and The Built Environment","otb research institute for the built environment"
"Architecture and The Built Environment","electrical engineering for the built environment"
"Architecture and The Built Environment","otb research institute for housing, urban and mobility studies"
"Industrial Design Engineering","industrial design engineering"
"Industrial Design Engineering","design, engineering and production"
"Industrial Design Engineering","industrial design engineering - applied sciences"
"Unknown Faculty","delft university of technology"
"Unknown Faculty","technical university of technology"
